,English,Arabic,Spanish,Romanian
allSessionsCompleted,Congratulations*c* Doctor.\n\nThank you notes are pouring in from all your happy patients!\n\nThe world is a better place because of you.,تهانينا، يا طبيب. نشكرك على\n\nتوجيهاتك التي رسمت\n البسمة على جميع\n\nمرضاك! أصبح العالم\n مكان أفضل بسببك.,texto,probă 
allStarsEarned,You did it! You completed every session perfectly.\n\nIt's been a pleasure working for you*c* Doctor.\n\nEnjoy retirement!,لقد فعلتها! لقد\n أكملت الجلسة بنجاح.\n\n كان من دواعي سروري\n العمل معك، يا طبيب.\n\n استمتع بتقاعدك!,texto,probă 
appointments,Today's patients are eager to see you.\n\nSelect an appointment to begin your first session.,مرضى اليوم\n متشوقين لرؤيتك. \n\nاختر موعد لتبدأ\n جلستك الأولى.,texto,probă 
completeFirstDay,Well*c* that's all of today's appointments.\n\nLet me know when you're ready to look at tomorrow's schedule.,حسناً، هذه جميع\n المواعيد لهذا اليوم.\n\n أخبرني عندما تريد النظر\n الى جدول اليوم التالي.,texto,probă 
confirmClearData,Are you sure you want to clear local and cloud save data? This cannot be undone.,هل أنت متأكد أنك\n تريد مسح بيانات المحلية\n وبيانات السحابة؟ لا يمكن\n استرجاع البيانات المحذوفة.,texto,probă 
cancel,Cancel,ألغي,texto,probă 
yes,Yes,نعم,texto,probă 
credits0,Developed by:,تم التطوير من خلال:,texto,probă 
credits1,Special Thanks to:,شكر خاص الي:,texto,probă 
fridayEncouragement_0,It's Friday!,انه يوم الجمعة!,texto,probă 
fridayEncouragement_1,If you need some incentive to make it through the day*c* there will be a new type of group joining us next week.,إذا كنت بحاجة الى بعض\n الحوافز لتفعلها خلال اليو\nم، سيكون هناك نوع جديد من \nهذه المجموعة التي ستنضم\n الينا الأسبوع القادم.,texto,probă 
fridayEncouragement_2,I'll give you the details on Monday.,سأوافيك بالتفاصيل\n يوم الاثنين,texto,probă 
introduction,Congratulations on the new office*c* Doctor.,تهانينا لك على المكتب\n الجديد، يا دكتور.,texto,probă 
introduction_2,Choose the first day to begin.,اختر اليوم الأول كي تبدأ.,texto,probă 
level2_0,Not all patients are friends,ليس جميع المرضى أصدقاء.,texto,probă 
level2_1,Choose this patient to see his relationships.,اختر هذا المريض\n لمعرفة علاقاته.,texto,probă 
